,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,NAME,STATE,COUNTY,GEO_TRACT
90,6442,5330,401,5892,550,4892,"Census Tract 1602.03, Milwaukee County, Wisconsin",55,079,160203
91,5452,4145,339,5166,286,3974,"Census Tract 1602.04, Milwaukee County, Wisconsin",55,079,160204
92,3790,3151,175,3692,98,3065,"Census Tract 1853, Milwaukee County, Wisconsin",55,079,185300
93,1442,16,1252,1433,9,16,"Census Tract 1854, Milwaukee County, Wisconsin",55,079,185400
94,1747,24,1602,1738,9,15,"Census Tract 1855, Milwaukee County, Wisconsin",55,079,185500
95,1611,493,1000,1544,67,433,"Census Tract 1856, Milwaukee County, Wisconsin",55,079,185600
96,1877,160,1544,1757,120,65,"Census Tract 1857, Milwaukee County, Wisconsin",55,079,185700
97,1615,34,1440,1515,100,13,"Census Tract 1858, Milwaukee County, Wisconsin",55,079,185800
98,980,14,720,980,0,14,"Census Tract 1859, Milwaukee County, Wisconsin",55,079,185900
99,1499,187,1192,1448,51,173,"Census Tract 1860, Milwaukee County, Wisconsin",55,079,186000
100,2006,242,1527,1949,57,212,"Census Tract 1861, Milwaukee County, Wisconsin",55,079,186100
101,1533,95,1360,1452,81,55,"Census Tract 1862, Milwaukee County, Wisconsin",55,079,186200
102,3811,1934,1576,3559,252,1757,"Census Tract 1863, Milwaukee County, Wisconsin",55,079,186300
103,1408,1112,118,1251,157,1024,"Census Tract 1864, Milwaukee County, Wisconsin",55,079,186400
104,1896,938,146,970,926,704,"Census Tract 1865, Milwaukee County, Wisconsin",55,079,186500
105,2206,1364,195,881,1325,679,"Census Tract 1866, Milwaukee County, Wisconsin",55,079,186600
106,1614,670,550,1000,614,299,"Census Tract 1868, Milwaukee County, Wisconsin",55,079,186800
107,2356,2031,85,2283,73,1978,"Census Tract 1869, Milwaukee County, Wisconsin",55,079,186900
108,1485,1198,192,1418,67,1161,"Census Tract 3.01, Milwaukee County, Wisconsin",55,079,000301
109,3605,539,1957,3356,249,495,"Census Tract 15, Milwaukee County, Wisconsin",55,079,001500
110,2040,147,1822,1990,50,125,"Census Tract 21, Milwaukee County, Wisconsin",55,079,002100
111,3935,151,3709,3843,92,110,"Census Tract 23, Milwaukee County, Wisconsin",55,079,002300
112,3499,2942,193,3290,209,2857,"Census Tract 1870, Milwaukee County, Wisconsin",55,079,187000
113,6509,5484,296,6077,432,5114,"Census Tract 1601, Milwaukee County, Wisconsin",55,079,160100
114,2492,2382,62,2258,234,2172,"Census Tract 1703, Milwaukee County, Wisconsin",55,079,170300
115,2715,2497,138,2550,165,2332,"Census Tract 1013, Milwaukee County, Wisconsin",55,079,101300
116,1883,1555,198,1829,54,1526,"Census Tract 902, Milwaukee County, Wisconsin",55,079,090200
117,4184,3819,174,3660,524,3295,"Census Tract 1016, Milwaukee County, Wisconsin",55,079,101600
118,4349,4086,149,4264,85,4009,"Census Tract 911, Milwaukee County, Wisconsin",55,079,091100
119,2746,2404,241,2389,357,2135,"Census Tract 1004, Milwaukee County, Wisconsin",55,079,100400
120,4251,3515,345,3364,887,2840,"Census Tract 1015, Milwaukee County, Wisconsin",55,079,101500
121,4786,4478,28,4409,377,4211,"Census Tract 1301, Milwaukee County, Wisconsin",55,079,130100
122,3073,2865,4,2933,140,2725,"Census Tract 1401, Milwaukee County, Wisconsin",55,079,140100
123,10218,9300,210,9493,725,8691,"Census Tract 1603, Milwaukee County, Wisconsin",55,079,160300
124,3258,2844,150,2840,418,2497,"Census Tract 1803, Milwaukee County, Wisconsin",55,079,180300
125,4655,4213,92,4112,543,3702,"Census Tract 1851, Milwaukee County, Wisconsin",55,079,185100
126,3653,1057,2228,3454,199,904,"Census Tract 7, Milwaukee County, Wisconsin",55,079,000700
127,2742,2385,118,2622,120,2343,"Census Tract 75, Milwaukee County, Wisconsin",55,079,007500
128,2138,1760,197,1949,189,1629,"Census Tract 79, Milwaukee County, Wisconsin",55,079,007900
129,1762,24,1695,1753,9,19,"Census Tract 88, Milwaukee County, Wisconsin",55,079,008800
130,1485,1246,193,1415,70,1199,"Census Tract 114, Milwaukee County, Wisconsin",55,079,011400
131,2173,458,962,1734,439,314,"Census Tract 134, Milwaukee County, Wisconsin",55,079,013400
132,2177,484,1557,1974,203,363,"Census Tract 136, Milwaukee County, Wisconsin",55,079,013600
133,3420,1872,133,1014,2406,668,"Census Tract 162, Milwaukee County, Wisconsin",55,079,016200
134,4143,983,329,749,3394,401,"Census Tract 163, Milwaukee County, Wisconsin",55,079,016300
135,3731,1736,796,1025,2706,242,"Census Tract 175, Milwaukee County, Wisconsin",55,079,017500
136,5387,1353,3331,5004,383,1273,"Census Tract 50, Milwaukee County, Wisconsin",55,079,005000
137,3084,2548,208,2780,304,2347,"Census Tract 128, Milwaukee County, Wisconsin",55,079,012800
138,2121,997,65,509,1612,411,"Census Tract 165, Milwaukee County, Wisconsin",55,079,016500
139,1697,631,296,699,998,328,"Census Tract 166, Milwaukee County, Wisconsin",55,079,016600
140,1976,1499,15,1395,581,1259,"Census Tract 185, Milwaukee County, Wisconsin",55,079,018500
141,1749,1132,295,1306,443,851,"Census Tract 213, Milwaukee County, Wisconsin",55,079,021300
142,4798,3767,16,3746,1052,2977,"Census Tract 216, Milwaukee County, Wisconsin",55,079,021600
143,4289,3520,512,4198,91,3455,"Census Tract 901, Milwaukee County, Wisconsin",55,079,090100
144,3666,2625,547,3419,247,2454,"Census Tract 146, Milwaukee County, Wisconsin",55,079,014600
145,2424,575,1609,2321,103,481,"Census Tract 37, Milwaukee County, Wisconsin",55,079,003700
146,2550,60,2466,2534,16,60,"Census Tract 46, Milwaukee County, Wisconsin",55,079,004600
147,3296,348,2689,3175,121,348,"Census Tract 51, Milwaukee County, Wisconsin",55,079,005100
148,4783,3845,218,4568,215,3662,"Census Tract 703, Milwaukee County, Wisconsin",55,079,070300
149,3350,2582,192,3091,259,2407,"Census Tract 903, Milwaukee County, Wisconsin",55,079,090300
150,2269,2071,37,2223,46,2025,"Census Tract 351, Milwaukee County, Wisconsin",55,079,035100
151,2126,56,1990,2099,27,50,"Census Tract 65, Milwaukee County, Wisconsin",55,079,006500
152,1185,22,1148,1163,22,22,"Census Tract 99, Milwaukee County, Wisconsin",55,079,009900
153,2898,1583,153,628,2270,446,"Census Tract 172, Milwaukee County, Wisconsin",55,079,017200
154,1454,1282,0,1247,207,1175,"Census Tract 211, Milwaukee County, Wisconsin",55,079,021100
155,3736,3188,374,2819,917,2359,"Census Tract 1001, Milwaukee County, Wisconsin",55,079,100100
156,3008,2656,63,2532,476,2422,"Census Tract 1202.02, Milwaukee County, Wisconsin",55,079,120202
157,4534,4167,115,4192,342,3870,"Census Tract 1805, Milwaukee County, Wisconsin",55,079,180500
158,2709,2435,43,2304,405,2169,"Census Tract 209, Milwaukee County, Wisconsin",55,079,020900
159,2671,2101,341,2528,143,1975,"Census Tract 110, Milwaukee County, Wisconsin",55,079,011000
160,5298,1109,3449,5002,296,917,"Census Tract 33, Milwaukee County, Wisconsin",55,079,003300
161,3576,322,2952,3495,81,277,"Census Tract 35, Milwaukee County, Wisconsin",55,079,003500
162,2084,207,1791,1937,147,154,"Census Tract 36, Milwaukee County, Wisconsin",55,079,003600
163,2313,167,1989,2182,131,162,"Census Tract 38, Milwaukee County, Wisconsin",55,079,003800
164,3429,2708,484,3106,323,2465,"Census Tract 55, Milwaukee County, Wisconsin",55,079,005500
165,2095,118,1939,2012,83,35,"Census Tract 66, Milwaukee County, Wisconsin",55,079,006600
166,3067,411,2504,2811,256,193,"Census Tract 70, Milwaukee County, Wisconsin",55,079,007000
167,1998,1452,316,1775,223,1328,"Census Tract 71, Milwaukee County, Wisconsin",55,079,007100
168,3260,2467,198,2978,282,2331,"Census Tract 78, Milwaukee County, Wisconsin",55,079,007800
169,1402,248,1022,1336,66,211,"Census Tract 137, Milwaukee County, Wisconsin",55,079,013700
170,1238,349,712,1003,235,226,"Census Tract 81, Milwaukee County, Wisconsin",55,079,008100
171,1189,5,1184,1189,0,5,"Census Tract 87, Milwaukee County, Wisconsin",55,079,008700
172,2514,2066,297,2270,244,1903,"Census Tract 94, Milwaukee County, Wisconsin",55,079,009400
173,3575,1823,91,796,2779,606,"Census Tract 169, Milwaukee County, Wisconsin",55,079,016900
174,2943,1605,18,644,2299,411,"Census Tract 171, Milwaukee County, Wisconsin",55,079,017100
175,2709,1367,149,918,1791,548,"Census Tract 186, Milwaukee County, Wisconsin",55,079,018600
176,3408,2748,176,2460,948,2171,"Census Tract 192, Milwaukee County, Wisconsin",55,079,019200
177,3016,2561,73,2695,321,2258,"Census Tract 215, Milwaukee County, Wisconsin",55,079,021500
178,4056,3170,322,1899,2157,1388,"Census Tract 201, Milwaukee County, Wisconsin",55,079,020100
179,3626,2620,85,2296,1330,1699,"Census Tract 202, Milwaukee County, Wisconsin",55,079,020200
180,4486,3999,140,3899,587,3722,"Census Tract 207, Milwaukee County, Wisconsin",55,079,020700
181,1923,20,1867,1904,19,19,"Census Tract 64, Milwaukee County, Wisconsin",55,079,006400
182,2840,395,2334,2498,342,108,"Census Tract 69, Milwaukee County, Wisconsin",55,079,006900
183,3612,3212,165,3465,147,3103,"Census Tract 76, Milwaukee County, Wisconsin",55,079,007600
184,1155,12,1132,1148,7,12,"Census Tract 85, Milwaukee County, Wisconsin",55,079,008500
185,2439,2178,165,2341,98,2125,"Census Tract 126, Milwaukee County, Wisconsin",55,079,012600
186,1230,1116,56,1098,132,1023,"Census Tract 127, Milwaukee County, Wisconsin",55,079,012700
