,MEDIAN INCOME,TOTAL POP FOR POV RATES,TOTAL POP INCOME BELOW POV RATE,WHITE POP INCOME BELOW POV RATE,BLACK POP INCOME BELOW POV RATE,POP BELOW .50 INCOME POV RATIO,POP .50-.99 INCOME POV RATIO,POP 1.00-1.24 INCOME POV RATIO,NAME,STATE,COUNTY,GEO_TRACT
190,27147,3235,1346,510,317,890,456,503,"Census Tract 167, Milwaukee County, Wisconsin",55,079,016700
191,29732,3499,1471,452,170,779,692,275,"Census Tract 168, Milwaukee County, Wisconsin",55,079,016800
192,28247,3461,1325,852,112,361,964,331,"Census Tract 187, Milwaukee County, Wisconsin",55,079,018700
193,63125,3202,280,156,22,109,171,42,"Census Tract 193, Milwaukee County, Wisconsin",55,079,019300
194,70194,5174,519,509,8,62,457,137,"Census Tract 197, Milwaukee County, Wisconsin",55,079,019700
195,52226,4028,564,276,0,28,536,150,"Census Tract 203, Milwaukee County, Wisconsin",55,079,020300
196,68231,5602,197,109,59,138,59,158,"Census Tract 501.01, Milwaukee County, Wisconsin",55,079,050101
197,71393,2700,208,143,47,80,128,92,"Census Tract 801, Milwaukee County, Wisconsin",55,079,080100
198,49444,2511,200,140,0,52,148,136,"Census Tract 1804, Milwaukee County, Wisconsin",55,079,180400
199,53006,4096,615,467,24,319,296,257,"Census Tract 194, Milwaukee County, Wisconsin",55,079,019400
200,26188,3395,922,386,199,535,387,289,"Census Tract 200, Milwaukee County, Wisconsin",55,079,020000
201,61840,6480,606,304,59,173,433,115,"Census Tract 217, Milwaukee County, Wisconsin",55,079,021700
202,66905,2634,300,196,54,142,158,39,"Census Tract 1701, Milwaukee County, Wisconsin",55,079,170100
203,15503,1828,1025,207,731,561,464,277,"Census Tract 135, Milwaukee County, Wisconsin",55,079,013500
204,40213,3561,903,376,114,333,570,420,"Census Tract 161, Milwaukee County, Wisconsin",55,079,016100
205,31354,5392,2054,680,361,532,1522,459,"Census Tract 170, Milwaukee County, Wisconsin",55,079,017000
206,44835,4404,1301,716,63,311,990,227,"Census Tract 173, Milwaukee County, Wisconsin",55,079,017300
207,28259,2720,1149,595,202,436,713,419,"Census Tract 176, Milwaukee County, Wisconsin",55,079,017600
208,58378,3014,342,252,15,208,134,166,"Census Tract 179, Milwaukee County, Wisconsin",55,079,017900
209,65673,1745,110,110,0,83,27,30,"Census Tract 181, Milwaukee County, Wisconsin",55,079,018100
210,45284,3626,552,484,18,137,415,136,"Census Tract 191, Milwaukee County, Wisconsin",55,079,019100
211,37401,3356,829,34,771,474,355,342,"Census Tract 9, Milwaukee County, Wisconsin",55,079,000900
212,29059,2675,899,183,598,130,769,511,"Census Tract 4, Milwaukee County, Wisconsin",55,079,000400
213,53836,3861,651,202,449,133,518,69,"Census Tract 5.01, Milwaukee County, Wisconsin",55,079,000501
214,34333,2746,979,29,773,442,537,166,"Census Tract 41, Milwaukee County, Wisconsin",55,079,004100
215,23333,2118,1033,1,952,414,619,101,"Census Tract 45, Milwaukee County, Wisconsin",55,079,004500
216,51304,3541,484,294,171,128,356,42,"Census Tract 54, Milwaukee County, Wisconsin",55,079,005400
217,54671,6477,506,332,17,174,332,221,"Census Tract 1204, Milwaukee County, Wisconsin",55,079,120400
218,70724,2132,119,45,27,38,81,36,"Census Tract 56, Milwaukee County, Wisconsin",55,079,005600
219,68783,2559,280,68,186,50,230,68,"Census Tract 57, Milwaukee County, Wisconsin",55,079,005700
220,95481,1409,343,276,56,214,129,17,"Census Tract 74, Milwaukee County, Wisconsin",55,079,007400
221,80662,5724,165,158,1,27,138,30,"Census Tract 1503.01, Milwaukee County, Wisconsin",55,079,150301
222,71133,7222,426,426,0,176,250,283,"Census Tract 1602.02, Milwaukee County, Wisconsin",55,079,160202
223,41322,3967,782,588,101,278,504,248,"Census Tract 1702, Milwaukee County, Wisconsin",55,079,170200
224,46491,4823,410,391,4,214,196,129,"Census Tract 1852, Milwaukee County, Wisconsin",55,079,185200
225,69514,3407,402,157,65,175,227,268,"Census Tract 3.04, Milwaukee County, Wisconsin",55,079,000304
226,37438,4949,1269,241,939,589,680,457,"Census Tract 8, Milwaukee County, Wisconsin",55,079,000800
227,40130,4236,734,25,488,417,317,298,"Census Tract 13, Milwaukee County, Wisconsin",55,079,001300
228,37014,3027,919,67,779,282,637,253,"Census Tract 16, Milwaukee County, Wisconsin",55,079,001600
229,26157,1961,818,27,775,295,523,112,"Census Tract 27, Milwaukee County, Wisconsin",55,079,002700
230,47586,4098,785,69,610,724,61,223,"Census Tract 31, Milwaukee County, Wisconsin",55,079,003100
231,47159,2706,500,34,453,121,379,130,"Census Tract 32, Milwaukee County, Wisconsin",55,079,003200
232,40183,6154,1352,70,1092,537,815,267,"Census Tract 34, Milwaukee County, Wisconsin",55,079,003400
233,45694,1677,414,329,9,204,210,52,"Census Tract 111, Milwaukee County, Wisconsin",55,079,011100
234,26971,2304,1042,56,889,253,789,198,"Census Tract 90, Milwaukee County, Wisconsin",55,079,009000
235,31367,1668,496,33,114,246,250,107,"Census Tract 97, Milwaukee County, Wisconsin",55,079,009700
