,TOTAL POP,WHITE POP,BLACK POP,NOT HISPANIC POP,TOTAL HISPANIC POP,NOT HISPANIC WHITE,MEDIAN INCOME,TOTAL POP IN HOUSING UNITS,RENTER OCCUPIED HOUSING UNITS,NAME,STATE,COUNTY,GEO_TRACT
119,2746,2404,241,2389,357,2135,42029,2681,1243,"Census Tract 1004, Milwaukee County, Wisconsin",55,079,100400
120,4251,3515,345,3364,887,2840,50197,4246,1760,"Census Tract 1015, Milwaukee County, Wisconsin",55,079,101500
121,4786,4478,28,4409,377,4211,64375,4729,1848,"Census Tract 1301, Milwaukee County, Wisconsin",55,079,130100
122,3073,2865,4,2933,140,2725,72188,3049,542,"Census Tract 1401, Milwaukee County, Wisconsin",55,079,140100
123,10218,9300,210,9493,725,8691,110625,10184,534,"Census Tract 1603, Milwaukee County, Wisconsin",55,079,160300
124,3258,2844,150,2840,418,2497,43576,3248,1568,"Census Tract 1803, Milwaukee County, Wisconsin",55,079,180300
125,4655,4213,92,4112,543,3702,41029,4492,2064,"Census Tract 1851, Milwaukee County, Wisconsin",55,079,185100
126,3653,1057,2228,3454,199,904,46016,3485,1484,"Census Tract 7, Milwaukee County, Wisconsin",55,079,000700
127,2742,2385,118,2622,120,2343,96016,2742,1130,"Census Tract 75, Milwaukee County, Wisconsin",55,079,007500
128,2138,1760,197,1949,189,1629,47450,1768,1181,"Census Tract 79, Milwaukee County, Wisconsin",55,079,007900
129,1762,24,1695,1753,9,19,18160,1762,1454,"Census Tract 88, Milwaukee County, Wisconsin",55,079,008800
130,1485,1246,193,1415,70,1199,74856,1485,962,"Census Tract 114, Milwaukee County, Wisconsin",55,079,011400
131,2173,458,962,1734,439,314,19766,2168,1349,"Census Tract 134, Milwaukee County, Wisconsin",55,079,013400
132,2177,484,1557,1974,203,363,16063,2090,1864,"Census Tract 136, Milwaukee County, Wisconsin",55,079,013600
133,3420,1872,133,1014,2406,668,36437,3303,1693,"Census Tract 162, Milwaukee County, Wisconsin",55,079,016200
134,4143,983,329,749,3394,401,31514,4115,2768,"Census Tract 163, Milwaukee County, Wisconsin",55,079,016300
135,3731,1736,796,1025,2706,242,26154,3721,2236,"Census Tract 175, Milwaukee County, Wisconsin",55,079,017500
136,5387,1353,3331,5004,383,1273,48702,5366,2585,"Census Tract 50, Milwaukee County, Wisconsin",55,079,005000
137,3084,2548,208,2780,304,2347,49891,2383,1197,"Census Tract 128, Milwaukee County, Wisconsin",55,079,012800
138,2121,997,65,509,1612,411,23831,2062,1492,"Census Tract 165, Milwaukee County, Wisconsin",55,079,016500
139,1697,631,296,699,998,328,25281,1697,1459,"Census Tract 166, Milwaukee County, Wisconsin",55,079,016600
140,1976,1499,15,1395,581,1259,60096,1976,428,"Census Tract 185, Milwaukee County, Wisconsin",55,079,018500
141,1749,1132,295,1306,443,851,37857,1744,1219,"Census Tract 213, Milwaukee County, Wisconsin",55,079,021300
142,4798,3767,16,3746,1052,2977,49286,4798,1679,"Census Tract 216, Milwaukee County, Wisconsin",55,079,021600
143,4289,3520,512,4198,91,3455,65208,4083,999,"Census Tract 901, Milwaukee County, Wisconsin",55,079,090100
144,3666,2625,547,3419,247,2454,12759,1458,1450,"Census Tract 146, Milwaukee County, Wisconsin",55,079,014600
145,2424,575,1609,2321,103,481,42071,2419,715,"Census Tract 37, Milwaukee County, Wisconsin",55,079,003700
146,2550,60,2466,2534,16,60,24673,2550,1532,"Census Tract 46, Milwaukee County, Wisconsin",55,079,004600
147,3296,348,2689,3175,121,348,28409,3289,2344,"Census Tract 51, Milwaukee County, Wisconsin",55,079,005100
148,4783,3845,218,4568,215,3662,96140,4783,1355,"Census Tract 703, Milwaukee County, Wisconsin",55,079,070300
149,3350,2582,192,3091,259,2407,61923,3344,1556,"Census Tract 903, Milwaukee County, Wisconsin",55,079,090300
150,2269,2071,37,2223,46,2025,152560,2269,91,"Census Tract 351, Milwaukee County, Wisconsin",55,079,035100
151,2126,56,1990,2099,27,50,20042,2126,1484,"Census Tract 65, Milwaukee County, Wisconsin",55,079,006500
152,1185,22,1148,1163,22,22,28667,1157,647,"Census Tract 99, Milwaukee County, Wisconsin",55,079,009900
153,2898,1583,153,628,2270,446,50995,2893,1210,"Census Tract 172, Milwaukee County, Wisconsin",55,079,017200
154,1454,1282,0,1247,207,1175,56712,1454,492,"Census Tract 211, Milwaukee County, Wisconsin",55,079,021100
155,3736,3188,374,2819,917,2359,41568,3736,1652,"Census Tract 1001, Milwaukee County, Wisconsin",55,079,100100
